text,meta_text,flag
"<sep> hello there <sep> i would like a job. hopefully you can assist me with that. <sep> yes 1 moment <sep> ok <sep> we have positions open in amazon or facebook <sep> both of those are ideal for me <sep> manager work for you in amazon? <sep> amazon designer or engineer would be better <sep> facebook designer or manager is ok too <sep> can do facebbok manager <sep> ok <sep> fb manager works for me <sep> does tokyo work for you? <sep> sydney would be better, actually <sep> or maybe seoul <sep> seoul and beijing are the only ones i have available if you can do somewhat of a lower salary or lesser vacation days <sep> hmm, beijing shows 0, so let's stay away from there <sep> i guess seoul then <sep> ok <sep> holiday is of lower importance than salary <sep> so can we do 2 days with a 35 salary? <sep> if we switch the city to tokyo (better for you) - that could work our favor <sep> what you proposed would be a score of like 45, so probably not <sep> yea if we can i can offer higher salary and vacation <sep> i'd like a salary of 40 or higher.  holiday can be low <sep> should i make a proposal? <sep> how does 40 sound right on the dot? <sep> so we're close to an agreement by the looks of it <sep> the vacation days are what is important for me <sep> 3 days work ok? <sep> i see. so let's back that down to 3 <sep> sounds good <sep> salary is a bit high <sep> 42 and deal? <sep> yeah, i think that would work <sep> we have a deal! will accept now <end>","['<sep>', '<greet>', '<sep>', '<unknown>', '<sep>', '<agree>', '<sep>', '<agree>', '<sep>', '<agree>', '<sep>', '<agree>', '<sep>', '<inquire>', '<sep>', '<unknown>', '<sep>', '<agree>', '<sep>', '<agree>', '<sep>', '<agree>', '<sep>', '<unknown>', '<sep>', '<agree>', '<sep>', '<unknown>', '<sep>', '<unknown>', '<sep>', '<inquire>', '<sep>', '<inquire>', '<sep>', '<unknown>', '<sep>', '<agree>', '<sep>', '<propose>', '<sep>', '<inquire>', '<sep>', '<unknown>', '<sep>', '<inquire>', '<sep>', '<propose>', '<sep>', '<propose>', '<sep>', '<inquire>', '<sep>', '<inquire>', '<sep>', '<unknown>', '<sep>', '<inquire>', '<sep>', '<agree>', '<sep>', '<unknown>', '<sep>', '<agree>', '<sep>', '<greet>', '<sep>', '<agree>', '<sep>', '<inform>', '<sep>', '<unknown>', '<end>']",0
"<sep> hi, how are you? <sep> i'm doing well, thank you! how are you today? <sep> i am also good.  i am interested in a job with facebook, any chance there are some openings? <sep> we do have a few, what position would you be interested in? <sep> manager, designer, or sales would all work <sep> i am not as concerned about relocating, as long as it is not to tokyo. <sep> we do have quite a few positions as manager with facebook. we also have quite a few good sales positions with apple. would you be interested in any of those at all? <sep> fb manager would be great <sep> can you offer seoul, beijing, or sydney? <sep> i can certainly offer you sydney, we have some positions there for facebook manager <sep> ok, i have an offer <sep> you can counter if you like <sep> as do i. <sep> we are very close.  i could do a day less for more salary, or less salary to keep the 4 holidays <sep> okay so what if we did 30/hr like you wanted for 3 weekly holidays <end>","['<sep>', '<greet>', '<sep>', '<inquire>', '<sep>', '<inquire>', '<sep>', '<inquire>', '<sep>', '<unknown>', '<sep>', '<unknown>', '<sep>', '<inquire>', '<sep>', '<agree>', '<sep>', '<inquire>', '<sep>', '<propose>', '<sep>', '<agree>', '<sep>', '<unknown>', '<sep>', '<unknown>', '<sep>', '<propose>', '<sep>', '<inquire>', '<end>']",0
"<sep> hello. <sep> hey <sep> i am a recruiter. are you looking for a job? <sep> i have some openings at amazon. <sep> mabager at amazon would be good <sep> manager <sep> ok. let me see what we have available. <sep> yes, we have one position as an amazon manager. it would be in japan. <sep> tokyo works <end>","['<sep>', '<greet>', '<sep>', '<greet>', '<sep>', '<agree>', '<sep>', '<unknown>', '<sep>', '<unknown>', '<sep>', '<unknown>', '<sep>', '<agree>', '<sep>', '<propose>', '<sep>', '<agree>', '<end>']",0
"<sep> hi, how are you? <sep> hi there, i'm good! and yourself? <sep> good, thank you <sep> i'm a good sales-person, any open positions? <sep> i'm hiring for a few jobs, google sales, apple sales are the top priorities <sep> let's go with apple sales <sep> what locations is this available? <sep> beijing and sydney <sep> excellent, let's do beijing <sep> okay, that sounds good <sep> is this viable? <sep> i can offer you the salary, but not the extra holiday <end>","['<sep>', '<greet>', '<sep>', '<inquire>', '<sep>', '<unknown>', '<sep>', '<inquire>', '<sep>', '<unknown>', '<sep>', '<unknown>', '<sep>', '<greet>', '<sep>', '<unknown>', '<sep>', '<unknown>', '<sep>', '<agree>', '<sep>', '<greet>', '<sep>', '<propose>', '<end>']",0
"<sep> hello there. <sep> hey!! <sep> how are you? <sep> i am looking to hire some new workers. hopefully we can get you hired <sep> great thank you <sep> i think we can come to eagood place for both odf us <sep> that makes both of us succesful and gets us max points <sep> nice. the highest paying jobs right now are in engineering <sep> okay, at google? <sep> yes, that would be ok <sep> the cities are seoul and bejing <sep> *beijing <sep> ah, i need tokyo or i need a pretty high salary? <sep> seoul and beijing both give me zero points <sep> tokyo is 0 for me, sadly. <sep> how about sydney? that is 5 for me. <sep> we can hopefully reach some compromise here <sep> so far, we have google engineer position at a city like tokyo, perhaps sydney <sep> perfect <sep> how do  you feel about salary and holiday? <sep> if in tokyo, salary would be lower than sydney. which is more important (salary or holiday) <sep> salary and holiday are of low importance compared to city <sep> salary is the most important for me <sep> i can make a proposal if you'd like. <sep> ok <sep> its about equal to work <sep> io <sep> i try to get you north of 40 for the salary. <sep> is that score workable or we need to adjust it further? <end>","['<sep>', '<greet>', '<sep>', '<greet>', '<sep>', '<inquire>', '<sep>', '<unknown>', '<sep>', '<agree>', '<sep>', '<inform>', '<sep>', '<unknown>', '<sep>', '<unknown>', '<sep>', '<agree>', '<sep>', '<agree>', '<sep>', '<unknown>', '<sep>', '<unknown>', '<sep>', '<inquire>', '<sep>', '<unknown>', '<sep>', '<agree>', '<sep>', '<inquire>', '<sep>', '<unknown>', '<sep>', '<propose>', '<sep>', '<agree>', '<sep>', '<inquire>', '<sep>', '<inquire>', '<sep>', '<propose>', '<sep>', '<propose>', '<sep>', '<unknown>', '<sep>', '<agree>', '<sep>', '<unknown>', '<sep>', '<unknown>', '<sep>', '<propose>', '<sep>', '<inquire>', '<end>']",0
"<sep> hi <sep> position and salary are very important to me <sep> hi there.  i'm very interested in jobs at google or facebook, engineering or sales. <sep> i could do enginner at facebook <sep> but i will need concessions for salary <sep> i can work in tokyo or seoul <sep> what city can you work <sep> i can't do that. <sep> give me a counter offer <sep> salary must be low if u need to be at facebook <sep> liek i said <sep> then i can do google jobs. <sep> 40 is crazy high <sep> thow an offer <sep> i don't want to waste my proposals.  talk it out. <sep> how are engineer and sales at google? <sep> bad <sep> both are horrible <sep> design at facebook? <sep> ok i can do that <end>","['<sep>', '<greet>', '<sep>', '<propose>', '<sep>', '<unknown>', '<sep>', '<agree>', '<sep>', '<propose>', '<sep>', '<agree>', '<sep>', '<inquire>', '<sep>', '<unknown>', '<sep>', '<propose>', '<sep>', '<propose>', '<sep>', '<unknown>', '<sep>', '<unknown>', '<sep>', '<greet>', '<sep>', '<inquire>', '<sep>', '<inform>', '<sep>', '<inquire>', '<sep>', '<unknown>', '<sep>', '<unknown>', '<sep>', '<agree>', '<sep>', '<agree>', '<end>']",0
<sep> hello <sep> i'm looking for a job <sep> what position would you like? <sep> apple sales in tokyo <sep> how many days off do you want per week? <sep> and what salary? <end>,"['<sep>', '<greet>', '<sep>', '<agree>', '<sep>', '<inquire>', '<sep>', '<agree>', '<sep>', '<inquire>', '<sep>', '<inquire>', '<end>']",0
"<sep> hello <sep> hello there! <sep> what jobs are you offering? <sep> we're looking for great workers! <sep> apple is in need of engineers! so is amazon! <sep> are those something you're interested in? <sep> also, apple has a sales opening! <sep> apple engineer would be okay <sep> do you have facebook engineer or designer? <sep> facebook engineer is available at a low salary in either beijing or sydney <sep> holiday days are negotiable, however <sep> how about apple engineer in seoul? <sep> seoul is a very difficult pick..it can be done with minimum salary and holiday days <sep> are neither beijing or sydney options for you? <sep> i'll check the numbers <sep> i'd need a higher salary and holidays <sep> for either beijing or sydney <sep> we can offer than at our other locations <sep> what is more important for you: salary or holiday? <sep> holiday days* <sep> salary <sep> how is this <sep> i'd need more salary for minimum holidays <end>","['<sep>', '<greet>', '<sep>', '<greet>', '<sep>', '<inquire>', '<sep>', '<agree>', '<sep>', '<inform>', '<sep>', '<inquire>', '<sep>', '<unknown>', '<sep>', '<agree>', '<sep>', '<agree>', '<sep>', '<propose>', '<sep>', '<inquire>', '<sep>', '<inquire>', '<sep>', '<propose>', '<sep>', '<inquire>', '<sep>', '<unknown>', '<sep>', '<propose>', '<sep>', '<unknown>', '<sep>', '<propose>', '<sep>', '<inquire>', '<sep>', '<propose>', '<sep>', '<propose>', '<sep>', '<greet>', '<sep>', '<propose>', '<end>']",0
<sep> hello <sep> hello! <sep> i'm interested in working in sales <sep> preferably for facebook <sep> aren't you the recruiter? <sep> lol i'm sorry <sep> you are correct <sep> i can see you are a veteran a these negotiations <sep> take it easy on me <sep> i'm a rookie <sep> not really <sep> still fairly new as well <sep> are you interested in working in sales <sep> can  we do something at apple <sep> sure i can work with that <sep> let me see what i can do <sep> okay you pick the kob <sep> job <sep> i'd like to be in beijing though <sep> gotcha <sep> how does this look <sep> i'm super lazy and need max vacation time <sep> i don't cre about money at ll really <sep> care <sep> alright let me see what i can do <sep> i can work with weekly holiday but salary needs to be lower <sep> ok a little lower <sep> good compromise <sep> yes i agree <sep> i accept <end>,"['<sep>', '<greet>', '<sep>', '<greet>', '<sep>', '<unknown>', '<sep>', '<agree>', '<sep>', '<inquire>', '<sep>', '<unknown>', '<sep>', '<unknown>', '<sep>', '<unknown>', '<sep>', '<unknown>', '<sep>', '<agree>', '<sep>', '<unknown>', '<sep>', '<unknown>', '<sep>', '<unknown>', '<sep>', '<unknown>', '<sep>', '<agree>', '<sep>', '<inquire>', '<sep>', '<agree>', '<sep>', '<unknown>', '<sep>', '<propose>', '<sep>', '<unknown>', '<sep>', '<greet>', '<sep>', '<inform>', '<sep>', '<unknown>', '<sep>', '<unknown>', '<sep>', '<inquire>', '<sep>', '<propose>', '<sep>', '<agree>', '<sep>', '<unknown>', '<sep>', '<agree>', '<sep>', '<unknown>', '<end>']",0
"<sep> hi! <sep> hi <sep> good afternoon <sep> do you have any openings at google? <sep> hmmm <sep> i can do engineer? <sep> yes <sep> would that work. <sep> i would like to work as an engineer at google <sep> ok i can work with that <sep> my cities of preference are beijing and sydney <sep> location? <sep> i can do sydney <sep> toyko if those are out <sep> ok sydney <sep> is salary or holiday more important? <sep> salary is more important <sep> ok cool let me know if this works? or if we are close <sep> alright <sep> perhaps just a little higher on the salary <sep> meet at 42? <sep> that puts me at ""not so good"" but i'm willing to compromise <sep> that works! <sep> ok <end>","['<sep>', '<greet>', '<sep>', '<greet>', '<sep>', '<greet>', '<sep>', '<inquire>', '<sep>', '<unknown>', '<sep>', '<inquire>', '<sep>', '<agree>', '<sep>', '<unknown>', '<sep>', '<unknown>', '<sep>', '<agree>', '<sep>', '<inform>', '<sep>', '<inquire>', '<sep>', '<unknown>', '<sep>', '<unknown>', '<sep>', '<agree>', '<sep>', '<inquire>', '<sep>', '<propose>', '<sep>', '<inquire>', '<sep>', '<unknown>', '<sep>', '<propose>', '<sep>', '<inquire>', '<sep>', '<unknown>', '<sep>', '<unknown>', '<sep>', '<agree>', '<end>']",0
